product_id,parent_sku,title_len,title
57257978290,ALOINS-1214-7,104,Acune Medicated Wiping Lotion 200ml | Acne Care | Deep Cleansing Toner | Oil Control | Direct From Japan
52752219134,Dove-1,80,Dove Body Wash Shea Butter & Vanilla Bottle 470g / Refill 330g Direct From Japan
47057982669,4975759004219,97,Soft99 REFINE Soft Paste Wax 150g For Cleaning/ Protecting/ Polishing Car Paint Direct From Japan
44557991999,4975759049531,95,SOFT99 Glaco Blave 70ml Water Repellent For Car Windshield/ Window Glass/ Mirrors Made In Japan
47557977790,4975759050667,103,SOFT99 Glass Stain Cleaner Glass Refresh 80ml | Quick & Easy Water Spot & Stain Remover | Made In Japan
40879636117,SOFT99-Double Jet Galaco,113,SOFT99 Fukupika Trigger Strong Type 2.0 | Waterless Car Wash Spray Wax | Long Lasting Coating | Direct From Japan
45607972213,SOFT99-Glaco Q,120,Soft99 Glaco Q 2-in-1 Coating 70ml | Made in Japan | Car Glass Cleaner and Coating | Water Repellent | Direct From Japan
53957952144,,54,Soft99 Tire Black Wax 170g Tire Care Direct from Japan
49457980098,SOFT99-1,97,SOFT99 Mirror Shine Wax Solid 200g Car Wax | High Gloss No Buffing Paint Protection Made in Japan
47757969089,,100,SOFT99 Super Waterproof Wax 300g Car Wax | High Gloss Water Repellent Paint Protection Made in Japan
45157970263,4901301367945,98,Curel Shampoo & Conditioner Prevents Scalp Problems Dandruff Itchiness & Dryness Direct From Japan
53057948279,4975759049586,113,SOFT99 Glaco Easy 120ml Car Glass Water Repellent | Quick Dry Windshield Coating Rain Repellent Direct From Japan
50055792819,,75,Himecoto White Wakihime Night Pack For Dark Underarms 30g Direct From Japan
45853307381,,102,Bourbon Alfort Mini Chocolate Box Set | Set of 10 Boxes | Wheat & Milk / Rich Milk | Direct From Japan
23789454533,,80,Japan Kao Liese Design/ Natural Series Creamy Bubble Hair Dye【Direct From Japan】
28544454246,,93,The Stem Cell Face Mask 30 Sheets Whitening Moisturizing Anti-Aging Facial Mask Made in Japan
56307797926,,104,The Stem Cell Skin Lotion & iPS CELLS SKIN LOTION 120ml | Anti-Aging Japanese Lotion | Direct From Japan
55307794016,4571365222292,83,THE STEM CELL Eyelash Serum 6ml For Promotes & Thickens Eyelashes Direct from Japan
56557801916,4901417723956,100,Kracie ICHIKAMI Damage Repair & Color Care Shampoo/ Conditioner 450ml Refill 320ml Direct From Japan
